continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG
NA,US,100.10.20.4,11,100.10.20.20,100.1.10.101,0.0.0.0,0,0,9,673,2073-05-15 22:50:54,2073-05-15 22:51:09,OTHER,35094,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-18 00:20:43,2073-05-18 00:54:20,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2073-05-18 00:20:43,2073-05-18 00:54:20,80,45679,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-18 00:54:26,2073-05-18 01:28:01,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,26,1687,2073-05-18 00:54:26,2073-05-18 01:28:01,80,45684,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.5.110.7,11,100.5.111.151,100.10.20.3,0.0.0.0,0,0,11,620,2073-05-15 23:18:48,2073-05-15 23:36:24,OTHER,110,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.5.111.151,0.0.0.0,0,0,9,692,2073-05-15 23:18:48,2073-05-15 23:36:24,110,59860,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-15 23:42:59,2073-05-15 23:43:04,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-15 23:42:59,2073-05-15 23:43:04,80,44522,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
EU,RO,89.44.100.92,15,89.44.100.124,100.10.20.4,0.0.0.0,0,0,39,2324,2073-05-15 23:14:25,2073-05-15 23:49:09,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,89.44.100.124,0.0.0.0,0,0,72,98882,2073-05-15 23:14:25,2073-05-15 23:49:09,80,44517,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-18 01:28:07,2073-05-18 02:01:40,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1601,2073-05-18 01:28:07,2073-05-18 02:01:40,80,45688,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-18 02:01:52,2073-05-18 02:35:22,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2073-05-18 02:01:52,2073-05-18 02:35:22,80,45695,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-16 16:27:15,2073-05-16 16:27:19,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
